uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability,10_class_probability,11_class_probability,12_class_probability,13_class_probability,14_class_probability
-510.4671,5,0.21948244,5,0.21948244,0.1882432,0.00522425,0.017555388,0.012208318,0.089322664,0.21948244,0.14265412,0.009982589,0.0017295344,0.0033737973,0.16491705,0.097140215,0.03192285,0.008216745,0.008026894
-320.5786,3,0.7168263,3,0.7168263,0.030549288,0.005190209,0.0022522956,0.7168263,0.0036015462,0.0027503574,0.003652521,0.023228662,0.0011452617,0.020795608,0.081055626,0.016458789,0.024931319,0.006781376,0.060780764
-510.32983,14,0.16629621,9,0.31285614,0.013428617,0.008739688,0.020238513,0.0025049504,0.012298301,0.0012027179,0.06589735,0.081826635,0.018386282,0.31285614,0.008341779,0.0040282393,0.22376372,0.06019081,0.16629621
-364.51648,12,0.108897075,2,0.4217551,0.0036880798,0.002532276,0.4217551,0.00066492107,0.060175464,0.0007570679,0.080625705,0.0040927893,0.024176244,0.01662016,0.13703746,0.004028708,0.108897075,0.13437703,0.00057195174
21.177338,10,0.0330282,2,0.29344934,0.0014787086,0.09348358,0.29344934,0.004619975,0.07093437,0.15326694,0.29108596,0.04045597,0.0017653255,0.0024982076,0.0330282,0.008149787,0.0019361321,0.0018211302,0.0020263686
-515.1581,0,0.006506552,8,0.5788261,0.006506552,0.048220135,0.0012709624,0.0019750614,0.08230684,0.0022617555,0.17970268,0.0029484483,0.5788261,0.0005599965,0.01586843,0.0007044757,0.03530236,0.04298423,0.00056187337
-391.82968,5,0.13918081,6,0.30604586,0.09174651,0.08821359,0.068252645,0.007952547,0.13275525,0.13918081,0.30604586,0.02871573,0.00816532,0.0019156573,0.080239885,0.014966223,0.018812362,0.010641171,0.0023964085
-761.5533,9,0.12310424,11,0.5133391,0.05702332,0.013236396,0.07052365,0.004138578,0.09259417,0.004480415,0.0050111725,0.016002193,0.00023660778,0.12310424,0.03681606,0.5133391,0.017326731,0.023128416,0.023038905
68.10603,8,0.03423141,5,0.7950085,0.02556277,0.01364474,0.012764045,0.0012548552,0.021965608,0.7950085,0.03253886,0.011408972,0.03423141,0.0005613786,0.015552381,0.03084393,0.00040416987,0.0032762198,0.0009821655
-756.3336,9,0.7701879,9,0.7701879,0.019253958,0.010713552,0.021514446,0.018297264,0.0031774603,0.0006425627,0.007719431,0.023765525,0.0017774885,0.7701879,0.05913195,0.007917331,0.015871499,0.029850174,0.010179461
