uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability,5_class_probability,6_class_probability,7_class_probability,8_class_probability,9_class_probability,10_class_probability,11_class_probability,12_class_probability,13_class_probability,14_class_probability
-206.89917,2,0.03292201,10,0.6156774,0.17081204,9.76039e-08,0.03292201,0.044887103,1.7621234e-06,0.0044876505,0.003891175,0.0004500931,0.1261692,1.4263301e-05,0.6156774,2.156087e-06,0.00066359364,1.1526586e-05,9.834514e-06
154.8563,5,1.4023857e-05,13,0.99811137,0.00019677391,0.0015994945,6.403905e-05,3.503549e-11,6.9973645e-11,1.4023857e-05,6.018624e-15,3.392873e-16,2.7372538e-09,6.8775655e-18,3.2278012e-06,5.6446474e-06,5.382894e-06,0.99811137,1.0548932e-08
-448.31885,6,0.26795137,4,0.40378696,0.0011212031,7.840531e-07,0.006472329,8.06692e-09,0.40378696,0.00073481124,0.26795137,0.29553732,0.005646392,3.4634052e-08,0.018105417,0.000493228,4.4497455e-09,0.00014972273,3.600549e-07
-305.74982,2,0.029548336,0,0.55753136,0.55753136,1.3036346e-06,0.029548336,9.695299e-06,0.00013928403,0.25980657,0.0410537,0.00041172752,0.1089051,1.2550211e-06,0.00023445605,0.00011696967,0.002226747,4.0525748e-08,1.3386904e-05
-226.6232,8,0.28579995,6,0.6445566,0.0005916112,8.6788825e-09,0.047995105,1.9914717e-12,0.019199835,4.2293424e-05,0.6445566,0.0018023388,0.28579995,5.455374e-11,3.8214775e-06,8.391235e-06,5.149743e-09,4.929918e-08,4.150944e-10
-711.5718,12,2.1461306e-06,3,0.7086462,0.010503503,2.262909e-09,5.1001202e-06,0.7086462,9.912366e-07,0.0007422359,6.495136e-05,5.1790566e-10,9.5069745e-14,0.27996042,1.8216277e-05,5.1133506e-05,2.1461306e-06,5.0962603e-06,5.653896e-08
-147.93518,10,9.985982e-07,7,0.70068467,0.0002583617,0.0007927725,0.00053227576,6.462239e-09,6.590321e-06,0.2934659,0.0041480134,0.70068467,8.3152976e-05,4.060318e-10,9.985982e-07,2.711888e-05,3.3932835e-08,4.1408708e-08,1.5507028e-10
-484.5773,3,0.99706095,3,0.99706095,0.0015565644,8.1676306e-16,1.1368459e-07,0.99706095,1.3370367e-09,0.00069286086,1.3751396e-08,4.837263e-11,2.0943792e-08,0.0005815749,7.183834e-05,3.0297247e-09,3.578881e-05,2.3256217e-07,1.4453662e-10
-517.12683,9,0.9999857,9,0.9999857,1.0358584e-06,2.4136919e-16,8.417742e-11,1.3319543e-05,3.023397e-12,2.1716828e-11,1.8860614e-10,1.8152029e-09,2.6492714e-14,0.9999857,2.04506e-10,7.0505698e-12,2.7861502e-08,1.0729802e-10,2.94857e-12
-317.06882,9,0.95314777,9,0.95314777,0.00011126308,1.0740663e-06,7.457097e-08,0.046725094,9.515727e-09,1.4881443e-10,1.531347e-14,8.7019494e-08,2.3132608e-13,0.95314777,7.789762e-08,3.7281593e-06,3.419928e-08,9.2609425e-06,1.5645735e-06
-315.42743,12,9.470935e-10,5,0.9999665,1.6095668e-10,4.4760133e-18,8.236584e-16,3.204049e-13,9.789185e-10,0.9999665,9.844032e-07,4.937131e-21,2.314229e-25,3.6370937e-10,2.950226e-05,1.8576246e-06,9.470935e-10,4.1348375e-07,7.974517e-07
-357.99078,6,0.26083788,5,0.7343941,0.0003175441,2.2534252e-05,0.002181324,1.7457038e-08,0.0009211205,0.7343941,0.26083788,5.131675e-05,2.4639147e-07,1.2687144e-06,0.00054754317,0.0005899849,1.6685552e-05,0.00011851315,9.505902e-09
-571.46234,2,9.570645e-05,6,0.38890618,0.19407858,1.9256921e-08,9.570645e-05,2.108957e-06,0.0002213692,0.110530026,0.38890618,0.0023455573,0.2892496,1.4276449e-08,0.0009569413,4.9967874e-09,6.78018e-05,4.83479e-06,0.013541327
-237.19301,1,0.9682137,1,0.9682137,0.00021778862,0.9682137,0.00024181999,7.689591e-08,1.2911145e-06,0.0076932334,0.0044314815,0.018627679,2.446783e-07,5.566805e-07,0.00024026101,0.00016440067,9.461616e-06,0.00015799148,8.976843e-09
-340.39166,4,3.1202704e-05,6,0.9287518,0.00010784543,1.1933279e-08,3.2832315e-06,3.1174945e-11,3.1202704e-05,0.07028329,0.9287518,0.00081674015,5.439912e-07,6.364114e-12,1.2939279e-06,3.868024e-06,6.123502e-10,2.2643095e-08,2.6487318e-11
21.325272,11,9.818462e-09,0,0.9992828,0.9992828,0.0006377992,7.6600515e-10,1.0527972e-05,1.887938e-17,3.980442e-06,9.351139e-11,1.5644018e-08,3.389086e-14,2.4816762e-17,1.1595503e-16,9.818462e-09,2.922725e-05,3.6928243e-09,3.5718327e-05
-334.1992,6,0.0014279417,2,0.9288229,0.0072317827,5.0956045e-05,0.9288229,2.723053e-06,2.0646325e-05,0.01838302,0.0014279417,0.000107645494,1.1529306e-08,0.00051718176,0.0011024097,0.03440783,0.007764836,0.0001595813,5.203728e-07
-415.82416,12,0.35227704,13,0.39720413,0.1577997,7.6743796e-05,0.00906667,3.9785235e-07,0.0022047984,5.160948e-06,9.9371646e-05,1.4655102e-06,2.1632115e-07,0.0082807755,7.8496174e-05,0.072892494,0.35227704,0.39720413,1.25490305e-05
-555.871,14,0.94668555,14,0.94668555,8.197319e-05,0.0507043,0.0005672669,3.7005773e-08,1.7849581e-05,1.0266671e-06,0.0003073231,5.36502e-10,2.6740022e-07,4.332194e-08,0.0016026675,2.1162848e-05,8.2424316e-07,9.644714e-06,0.94668555
-289.0,7,3.3720928e-05,0,0.3787075,0.3787075,2.5703608e-07,0.056589164,0.1371491,1.5282716e-05,0.3644006,0.055222057,3.3720928e-05,5.6190417e-09,0.0018103783,0.0012574386,0.0013109865,0.00043219794,0.0016579797,0.0014133318
-110.2294,11,0.3914459,5,0.45580113,0.0007412723,0.016632881,0.026421426,0.0040077805,0.0011068223,0.45580113,0.025530707,0.00031989327,8.389318e-09,0.06742825,0.009404764,0.3914459,8.772041e-05,6.351994e-05,0.0010079191
-118.29372,10,0.95252556,10,0.95252556,0.0014776236,0.00027640234,0.013592537,0.0062737195,1.3533538e-09,0.0001822208,1.3638111e-05,1.0213006e-08,6.146198e-14,0.022248697,0.95252556,0.0034030587,7.1276185e-07,5.4488883e-06,2.7658464e-07
-425.9865,5,0.9080739,5,0.9080739,3.79985e-05,5.5350448e-08,2.2297415e-08,5.4433944e-08,3.2347796e-06,0.9080739,0.08764018,0.004241516,5.6375082e-09,9.0899344e-10,1.1729347e-06,1.7838564e-06,2.3054485e-09,1.00874566e-07,3.4527894e-10
