uniqueID,real_label,real_probability,predicted_label,predicted_probability,0_class_probability,1_class_probability,2_class_probability,3_class_probability,4_class_probability
-449.7554,2,0.9993678,2,0.9993678,3.1587402e-05,0.00048315065,0.9993678,0.000109755296,7.801167e-06
-707.56116,1,0.993418,1,0.993418,4.933803e-05,0.993418,0.0014554852,0.0050579947,1.9230753e-05
-187.24423,4,0.9856273,4,0.9856273,0.00025187698,0.00035196127,0.00017158526,0.013597272,0.9856273
28.215927,0,0.9950518,0,0.9950518,0.9950518,3.2500204e-05,0.00054704,0.0035487413,0.0008199545
-135.72491,2,0.71543723,2,0.71543723,0.035019737,0.00646454,0.71543723,0.24119087,0.0018876486
-760.6719,1,0.9994179,1,0.9994179,1.3684719e-05,0.9994179,0.00040634337,9.0972164e-05,7.113612e-05
-468.04703,4,0.9998004,4,0.9998004,9.551859e-05,2.7449667e-06,4.2295625e-05,5.9090748e-05,0.9998004
-599.38306,3,0.7656358,3,0.7656358,0.00563026,0.002460081,7.198225e-05,0.7656358,0.22620186
-761.5533,1,0.52096474,1,0.52096474,0.003986566,0.52096474,0.14659698,0.22777988,0.1006718
-174.3325,0,0.9978356,0,0.9978356,0.9978356,1.749306e-08,3.2140222e-06,6.1016526e-05,0.0021001988
-100.71353,2,0.99894696,2,0.99894696,4.6770918e-05,0.00011658663,0.99894696,0.00087954575,1.007985e-05
-423.615,0,0.9999691,0,0.9999691,0.9999691,1.7298804e-06,1.1220464e-07,2.2789485e-05,6.2197314e-06
-541.7544,2,0.99973255,2,0.99973255,7.522036e-06,1.286024e-05,0.99973255,0.00019379063,5.3327607e-05
-674.19104,3,0.9091784,3,0.9091784,0.006879266,0.08117045,0.0021386526,0.9091784,0.00063329784
-325.43918,3,0.6794967,3,0.6794967,0.12602153,0.06549869,0.039553788,0.6794967,0.08942934
84.27626,4,0.9848711,4,0.9848711,0.010444141,0.00066918257,1.1832988e-06,0.0040144315,0.9848711
-448.037,3,0.8411913,3,0.8411913,0.13917938,0.003715189,0.00035335717,0.8411913,0.0155606745
-675.3699,4,0.9947048,4,0.9947048,9.493529e-05,0.0010587047,0.00020408943,0.003937442,0.9947048
-441.3368,1,0.6815494,1,0.6815494,0.0006013525,0.6815494,0.094033115,0.22177623,0.0020398295
-429.42432,3,0.12976795,0,0.85409975,0.85409975,0.013081472,0.001042645,0.12976795,0.0020081117
-636.404,2,0.99418724,2,0.99418724,3.666427e-05,0.0034086602,0.99418724,0.0023196058,4.790339e-05
-769.7192,1,0.9999945,1,0.9999945,1.2138048e-06,0.9999945,3.3145327e-06,5.5740077e-07,4.6580308e-07
19.410362,4,0.34632903,4,0.34632903,0.31664628,0.20197819,0.11126809,0.0237784,0.34632903
-126.29498,4,0.9966265,4,0.9966265,0.0015364798,7.808984e-05,0.00013470165,0.0016242713,0.9966265
-32.582497,0,0.9808914,0,0.9808914,0.9808914,5.00549e-05,0.0012724177,0.017622838,0.00016323145
-18.170118,0,0.999871,0,0.999871,0.999871,1.4275593e-06,2.6170299e-05,9.020383e-05,1.1251895e-05
-742.57935,1,0.97201824,1,0.97201824,0.0002574051,0.97201824,0.013465093,0.013184151,0.00107523
-174.32892,0,0.99468285,0,0.99468285,0.99468285,8.91556e-06,0.00013948356,0.0050723883,9.645845e-05
-545.0203,2,0.9803499,2,0.9803499,0.00068737427,0.013207125,0.9803499,0.005266764,0.0004888115
-628.254,4,0.8331874,4,0.8331874,0.00058726186,0.01615888,0.13203536,0.018031118,0.8331874
-82.18443,0,0.96075624,0,0.96075624,0.96075624,1.540713e-05,0.0001599399,0.02871256,0.010355841
-636.7859,1,0.9999945,1,0.9999945,1.4192658e-06,0.9999945,2.2254587e-06,2.1758441e-07,1.7131487e-06
-414.8034,2,0.9999651,2,0.9999651,2.0584291e-06,1.1585042e-05,0.9999651,2.1023465e-05,3.0602584e-07
-474.5279,3,0.98110306,3,0.98110306,0.005309329,0.0004098496,1.0253674e-05,0.98110306,0.013167431
-347.69507,4,0.77551436,4,0.77551436,0.02651856,0.009842362,0.00069187843,0.18743281,0.77551436
18.917973,0,0.8781434,0,0.8781434,0.8781434,0.00045272292,0.004789048,0.112056084,0.0045587444
